tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
318,2018-01-27T20:08:17.638000,2018-01-27T20:13:35.923000,331,Pike St & Monroe St,40.71173107,-73.99193043,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,26575,Subscriber,1983,male,
695,2018-01-24T06:33:21.794000,2018-01-24T06:44:57.566000,349,Rivington St & Ridge St,40.71850211,-73.98329859,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,32756,Subscriber,1985,female,
276,2018-01-18T17:54:17.279000,2018-01-18T17:58:54.194000,308,St James Pl & Oliver St,40.71307916,-73.99851193,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,16056,Subscriber,1975,male,
253,2018-01-07T16:08:14.778000,2018-01-07T16:12:28.648000,308,St James Pl & Oliver St,40.71307916,-73.99851193,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,25309,Subscriber,1975,male,
720,2018-01-11T17:53:48.536000,2018-01-11T18:05:48.757000,308,St James Pl & Oliver St,40.71307916,-73.99851193,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,29817,Subscriber,1975,male,
246,2018-01-29T19:06:01.677000,2018-01-29T19:10:07.835000,386,Centre St & Worth St,40.71494807,-74.00234482,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,15167,Subscriber,1956,male,
218,2018-01-23T20:35:36.217000,2018-01-23T20:39:14.814000,296,Division St & Bowery,40.71413089,-73.9970468,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,20693,Subscriber,1996,male,
953,2018-01-18T17:11:06.686000,2018-01-18T17:27:00.380000,496,E 16 St & 5 Ave,40.73726186,-73.99238967,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,29984,Subscriber,1978,male,
1648,2018-01-16T13:53:36.338000,2018-01-16T14:21:04.782000,435,W 21 St & 6 Ave,40.74173969,-73.99415556,3489,Gold St & Frankfort St,40.710699946313873,-74.003541469573975,17657,Subscriber,1989,female,
74,2018-01-15T11:27:54.234000,2018-01-15T11:29:08.872000,3613,Center Blvd & 48 Ave,40.745038,-73.957539,3122,48 Ave & 5 St,40.744363287066875,-73.9558732509613,19801,Subscriber,1978,male,
